gamma1,distorted,axis,nu,eps,mean_loss_g2_1.0,mean_loss_g2_1.5,mean_loss_g2_2.0,mean_loss_g2_4.0
-2.0,False,nu,3.0,1.0,0.45206587675154575,0.4920436556015719,0.6831184840186416,12.38342639105403
-1.0,False,nu,3.0,1.0,0.35215811235586725,0.3549032485695685,0.49799199595711174,10.771682560298887
0.0,False,nu,3.0,1.0,0.3250609473987124,0.31413408114206365,0.42633276265744735,8.818042179471417
0.5,False,nu,3.0,1.0,0.2805871442122944,0.26067859677929434,0.3509459734223224,7.210420169945337
1.0,False,nu,3.0,1.0,0.23167926086076937,0.19924276270221264,0.2565026341021385,4.662385293397231
1.5,False,nu,3.0,1.0,0.16467790507200472,0.11215439552602942,0.1177043015875371,1.1528429436872305
2.0,False,nu,3.0,1.0,0.0011496683531968179,5.3533492440588046e-05,2.987437226250597e-06,1.2985221237709562e-10
-2.0,False,nu,5.0,1.0,0.38674601012444315,0.3827125593858263,0.4987927673586097,10.365864725881904
-1.0,False,nu,5.0,1.0,0.4119922789185501,0.3867647127775328,0.47582893740714427,10.221051229680471
0.0,False,nu,5.0,1.0,0.40850033392408464,0.35385971082157414,0.39940619696492297,8.367594987650786
0.5,False,nu,5.0,1.0,0.3529807621423104,0.2880363644102653,0.31369517281253706,6.634769267080588
1.0,False,nu,5.0,1.0,0.2901596084365687,0.21574725687259655,0.21615990199736426,4.036700594961631
1.5,False,nu,5.0,1.0,0.18155210829976018,0.10894073461673826,0.09206443202165449,1.103019249905097
2.0,False,nu,5.0,1.0,0.0011051439225825985,4.736864692731237e-05,2.326875556887184e-06,6.361639239782137e-11
-2.0,False,nu,8.0,1.0,0.40299000240311195,0.37405165303733084,0.4259197471307714,2.6271351367026123
-1.0,False,nu,8.0,1.0,0.37775264941343556,0.339646407732109,0.3775547072010614,2.3116372354794774
0.0,False,nu,8.0,1.0,0.3991098575622553,0.3327878328903677,0.3337922440832088,1.6547944315769059
0.5,False,nu,8.0,1.0,0.3531843288478472,0.2736646924819915,0.25608823518465984,1.0741820212699091
1.0,False,nu,8.0,1.0,0.30035527502570064,0.20839860354072468,0.17169397703699052,0.48172312736249395
1.5,False,nu,8.0,1.0,0.18212827881089355,0.09866582896096099,0.06444486189668722,0.08784829938708799
2.0,False,nu,8.0,1.0,0.001751982359126084,9.478616600599099e-05,5.8174817889756526e-06,2.6179356892152234e-10
-2.0,False,nu,inf,1.0,0.4381562294140286,0.4076635055917121,0.4412890409955697,1.4100166489436994
-1.0,False,nu,inf,1.0,0.4063874406222488,0.36546007518695506,0.38463584872996864,1.1329593892520087
0.0,False,nu,inf,1.0,0.3814507396988603,0.31052397264065595,0.2954075900942347,0.7203927751911531
0.5,False,nu,inf,1.0,0.4031472091101314,0.3115189882165361,0.271688002938066,0.4743419631180501
1.0,False,nu,inf,1.0,0.3238410696805049,0.22025569295083666,0.16850101906183745,0.18638594787633564
1.5,False,nu,inf,1.0,0.19428199988861927,0.10149186732569421,0.059855932833764836,0.027423524305088792
2.0,False,nu,inf,1.0,0.0011606421743343923,4.751723499238597e-05,2.0984712196121035e-06,1.3074930006728763e-11
-2.0,False,eps,5.0,0.0,0.7410419478456789,0.811470307310637,0.9976945364373554,5.505313851444328
-1.0,False,eps,5.0,0.0,0.7016445151405925,0.7598369564445301,0.9303207992722277,5.205455472988554
0.0,False,eps,5.0,0.0,0.6391987252337413,0.6899779000391724,0.8484892913239538,4.893882731110648
0.5,False,eps,5.0,0.0,0.6336207468226198,0.6816157709550009,0.8351112229305088,4.701240810339937
1.0,False,eps,5.0,0.0,0.6144106788723767,0.6566136234548007,0.8008356216474836,4.504068667658025
1.5,False,eps,5.0,0.0,1.0642410452129625,1.2823609247776593,1.6051780941516773,4.609930024107833
2.0,False,eps,5.0,0.0,0.017252824607167556,0.0036497492779027536,0.0007995248597004245,1.9135347945487424e-06
-2.0,False,eps,5.0,0.01,0.7163718138354946,0.7791297802909692,0.9557630145216862,5.325634044737211
-1.0,False,eps,5.0,0.01,0.6804113237849,0.7321131719576917,0.8943806421194926,5.0447471269049275
0.0,False,eps,5.0,0.01,0.6229581204974588,0.6643128815979954,0.8104619792853726,4.6855584760629965
0.5,False,eps,5.0,0.01,0.6434795188945864,0.693471826085354,0.8498689583223366,4.83365516992221
1.0,False,eps,5.0,0.01,0.6102909743826673,0.6117046944754776,0.6865464547977812,2.9592243849490956
1.5,False,eps,5.0,0.01,1.103369631733897,1.354436374198612,1.7288412009624672,5.401441384834135
2.0,False,eps,5.0,0.01,0.004223709259979486,0.00038481026863145776,4.056141034078796e-05,1.3635772420419077e-08
-2.0,False,eps,5.0,0.02,0.7341341745443885,0.802701075444492,0.9865487550872469,5.4468464755132535
-1.0,False,eps,5.0,0.02,0.6844097164430719,0.7372408414324306,0.9008737269390134,5.067494925928293
0.0,False,eps,5.0,0.02,0.6243233055822314,0.6647722372265271,0.8098030946436644,4.608194608040737
0.5,False,eps,5.0,0.02,0.7891118535714788,0.9300826654527494,1.2264177574065123,7.906569124123901
1.0,False,eps,5.0,0.02,0.95374018402427,1.2773770013240922,1.9294220505957254,21.74152414904537
1.5,False,eps,5.0,0.02,1.1386959908461327,1.4053032028881087,1.797595826756995,5.5492612013647715
2.0,False,eps,5.0,0.02,0.0017107773888733271,9.367447509494162e-05,5.91576532886171e-06,2.814617297881996e-10
-2.0,False,eps,5.0,0.03,0.749508033232161,0.8228575568505986,1.012784339875749,5.556863950650381
-1.0,False,eps,5.0,0.03,0.7254248323474964,0.7903932150579477,0.9694134412104048,5.3660186645153765
0.0,False,eps,5.0,0.03,0.653845281427921,0.7058610384638312,0.8665487699769265,4.976562935246991
0.5,False,eps,5.0,0.03,0.644380231267216,0.693047669519491,0.8480263977470227,4.813443506852891
1.0,False,eps,5.0,0.03,0.9294113837532504,1.2492239646544057,1.893724887767168,21.317744576867447
1.5,False,eps,5.0,0.03,1.144023591739715,1.4122897120950728,1.8075114804923673,5.620269794835036
2.0,False,eps,5.0,0.03,0.0019130981531747075,0.00011113646537613319,7.460913726351068e-06,4.529517540759378e-10
-2.0,True,nu,3.0,1.0,0.45602149330325,0.49771387941628165,0.690387890155345,12.445489901403647
-1.0,True,nu,3.0,1.0,0.3525906458235401,0.3553917973286604,0.49875469130862454,10.8058922380021
